id,actor_id,entity_type,entity_id,action,before_json,after_json,created_at
1,16,shop,1,CREATE,,"{""code"": ""DEVCELL"", ""name"": ""Development Demo Cell""}",2026-02-17T09:27:53+00:00
2,16,shop,2,CREATE,,"{""code"": ""STRUCT"", ""name"": ""Structures Shop""}",2026-02-17T09:27:53+00:00
3,16,shop,3,CREATE,,"{""code"": ""AVN"", ""name"": ""Avionics Shop""}",2026-02-17T09:27:53+00:00
7,16,user,1,CREATE,,"{""employee_no"": ""DEV001"", ""name"": ""Dev Seed Operator"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
8,16,user,2,CREATE,,"{""employee_no"": ""DEV002"", ""name"": ""Adrian Koh"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
9,16,user,3,CREATE,,"{""employee_no"": ""DEV003"", ""name"": ""Siti Rahman"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
10,16,user,4,CREATE,,"{""employee_no"": ""DEV004"", ""name"": ""Marcus Lee"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
11,16,user,5,CREATE,,"{""employee_no"": ""DEV005"", ""name"": ""Hanna Park"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
12,16,user,6,CREATE,,"{""employee_no"": ""STR006"", ""name"": ""Eun Seo"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
13,16,user,7,CREATE,,"{""employee_no"": ""STR007"", ""name"": ""Amir Rahman"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
14,16,user,8,CREATE,,"{""employee_no"": ""STR008"", ""name"": ""Vanessa Koh"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
15,16,user,9,CREATE,,"{""employee_no"": ""AVN009"", ""name"": ""Jia Hao"", ""team"": ""Avionics""}",2026-02-18T09:27:53+00:00
16,16,user,10,CREATE,,"{""employee_no"": ""AVN010"", ""name"": ""Nur Aisyah"", ""team"": ""Avionics""}",2026-02-18T09:27:53+00:00
17,16,user,11,CREATE,,"{""employee_no"": ""AVN011"", ""name"": ""Dinesh Pillai"", ""team"": ""Avionics""}",2026-02-18T09:27:53+00:00
22,16,user,16,CREATE,,"{""employee_no"": ""ADM016"", ""name"": ""Olivia Hart"", ""team"": ""Planning""}",2026-02-18T09:27:53+00:00
25,16,user,19,CREATE,,"{""employee_no"": ""STR019"", ""name"": ""Grace Lee"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
26,16,user,20,CREATE,,"{""employee_no"": ""STR020"", ""name"": ""Ben Chua"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
27,16,user_shop_access,1,GRANT,,"{""user_id"": 1, ""shop_id"": 1, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
28,16,user_shop_access,2,GRANT,,"{""user_id"": 1, ""shop_id"": 2, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
29,16,user_shop_access,3,GRANT,,"{""user_id"": 1, ""shop_id"": 3, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
30,16,user_shop_access,4,GRANT,,"{""user_id"": 2, ""shop_id"": 1, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
31,16,user_shop_access,5,GRANT,,"{""user_id"": 3, ""shop_id"": 1, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
32,16,user_shop_access,6,GRANT,,"{""user_id"": 4, ""shop_id"": 1, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
33,16,user_shop_access,7,GRANT,,"{""user_id"": 6, ""shop_id"": 2, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
34,16,user_shop_access,8,GRANT,,"{""user_id"": 7, ""shop_id"": 2, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
35,16,user_shop_access,9,GRANT,,"{""user_id"": 8, ""shop_id"": 2, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
36,16,user_shop_access,10,GRANT,,"{""user_id"": 9, ""shop_id"": 3, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
37,16,user_shop_access,11,GRANT,,"{""user_id"": 10, ""shop_id"": 3, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
38,16,user_shop_access,12,GRANT,,"{""user_id"": 11, ""shop_id"": 3, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
43,16,user_shop_access,17,GRANT,,"{""user_id"": 19, ""shop_id"": 2, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
44,16,user_shop_access,18,GRANT,,"{""user_id"": 20, ""shop_id"": 2, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
45,16,system_config,1,UPDATE,,"{""key"": ""meeting_current_date"", ""value"": ""2026-03-16""}",2026-03-18T03:27:53+00:00
46,16,system_config,2,UPDATE,,"{""key"": ""needs_update_threshold_hours"", ""value"": ""72""}",2026-03-18T03:27:53+00:00
47,16,system_config,3,UPDATE,,"{""key"": ""teams_enabled"", ""value"": ""true""}",2026-03-18T03:27:53+00:00
48,16,system_config,4,UPDATE,,"{""key"": ""snapshot_advance_day"", ""value"": ""Sunday""}",2026-03-18T03:27:53+00:00
49,16,system_config,5,UPDATE,,"{""key"": ""snapshot_advance_time"", ""value"": ""18:00""}",2026-03-18T03:27:53+00:00
60,16,aircraft,1,CREATE,,"{""ac_reg"": ""9V-SKA"", ""status"": ""ACTIVE""}",2026-02-16T09:27:53+00:00
61,16,aircraft,2,CREATE,,"{""ac_reg"": ""9V-SKB"", ""status"": ""ACTIVE""}",2026-02-16T09:27:53+00:00
62,16,aircraft,3,CREATE,,"{""ac_reg"": ""9V-SKC"", ""status"": ""ACTIVE""}",2026-02-16T09:27:53+00:00
63,16,aircraft,4,CREATE,,"{""ac_reg"": ""A6-EQH"", ""status"": ""ACTIVE""}",2026-02-16T09:27:53+00:00
68,16,work_package,1,CREATE,,"{""rfo_no"": ""RFO-260301"", ""title"": ""SQ A350 Heavy Check C01""}",2026-02-16T09:27:53+00:00
69,16,work_package,2,CREATE,,"{""rfo_no"": ""RFO-260302"", ""title"": ""SQ A350 Cabin Retrofit""}",2026-02-16T09:27:53+00:00
70,16,work_package,3,CREATE,,"{""rfo_no"": ""RFO-260303"", ""title"": ""SQ 787 Avionics Upgrade""}",2026-02-16T09:27:53+00:00
71,16,work_package,4,CREATE,,"{""rfo_no"": ""RFO-260304"", ""title"": ""EK 777 Phase Check""}",2026-02-16T09:27:53+00:00
77,16,shop_stream,1,CREATE,,"{""work_package_id"": 1, ""shop_code"": ""STRUCT""}",2026-02-16T09:27:53+00:00
78,16,shop_stream,2,CREATE,,"{""work_package_id"": 1, ""shop_code"": ""AVN""}",2026-02-16T09:27:53+00:00
79,16,shop_stream,3,CREATE,,"{""work_package_id"": 1, ""shop_code"": ""CAB""}",2026-02-16T09:27:53+00:00
80,16,shop_stream,4,CREATE,,"{""work_package_id"": 1, ""shop_code"": ""QA""}",2026-02-16T09:27:53+00:00
81,16,shop_stream,5,CREATE,,"{""work_package_id"": 2, ""shop_code"": ""CAB""}",2026-02-16T09:27:53+00:00
82,16,shop_stream,6,CREATE,,"{""work_package_id"": 2, ""shop_code"": ""AVN""}",2026-02-16T09:27:53+00:00
83,16,shop_stream,7,CREATE,,"{""work_package_id"": 2, ""shop_code"": ""QA""}",2026-02-16T09:27:53+00:00
84,16,shop_stream,8,CREATE,,"{""work_package_id"": 3, ""shop_code"": ""AVN""}",2026-02-16T09:27:53+00:00
85,16,shop_stream,9,CREATE,,"{""work_package_id"": 3, ""shop_code"": ""QA""}",2026-02-16T09:27:53+00:00
