id,task_id,meeting_date,status,mh_incurred_hours,remarks,critical_issue,has_issue,deadline_date,correction_reason,is_deleted,deleted_at,deleted_by,version,supervisor_updated_at,last_updated_at,last_updated_by,created_at
1,101,2026-03-16,COMPLETED,4.00,Closed during weekly review,,0,,,0,,,3,2026-03-17T13:27:53+00:00,2026-03-17T09:27:53+00:00,2,2026-03-16T08:00:00+00:00
2,102,2026-03-16,IN_PROGRESS,2.70,Progressing to plan,,0,,,0,,,2,2026-03-17T15:27:53+00:00,2026-03-17T09:27:53+00:00,4,2026-03-16T08:00:00+00:00
3,103,2026-03-16,NOT_STARTED,0.00,Newly distributed - awaiting first supervisor update,,0,,,0,,,1,,2026-03-17T23:27:53+00:00,16,2026-03-16T08:00:00+00:00
4,104,2026-03-16,WAITING,1.80,Blocked pending external action,Awaiting structures sign-off,1,2026-03-15,,0,,,3,2026-03-14T03:27:53+00:00,2026-03-17T09:27:53+00:00,2,2026-03-16T08:00:00+00:00
5,105,2026-03-16,NOT_STARTED,0.00,Queued for upcoming work window,,0,,,0,,,1,2026-03-17T05:27:53+00:00,2026-03-17T09:27:53+00:00,2,2026-03-16T08:00:00+00:00
6,106,2026-03-16,COMPLETED,4.30,Closed after final cost correction,,0,,Final MH adjusted after admin review,0,,,4,2026-03-17T17:27:53+00:00,2026-03-17T09:27:53+00:00,16,2026-03-16T08:00:00+00:00
7,201,2026-03-16,WAITING,16.80,Blocked pending external action,Awaiting NDT clearance,1,2026-03-14,,0,,,3,2026-03-14T03:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
8,202,2026-03-16,COMPLETED,16.00,Closed during weekly review,,0,,,0,,,3,2026-03-17T13:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
9,203,2026-03-16,IN_PROGRESS,6.30,Progressing to plan,,0,2026-03-19,,0,,,2,2026-03-17T15:27:53+00:00,2026-03-17T09:27:53+00:00,19,2026-03-16T08:00:00+00:00
10,204,2026-03-16,IN_PROGRESS,6.30,No update received in last 72h,,0,2026-03-15,,0,,,2,2026-03-13T07:27:53+00:00,2026-03-17T09:27:53+00:00,7,2026-03-16T08:00:00+00:00
11,205,2026-03-16,WAITING,7.20,Blocked pending external action,Engineering disposition pending,1,2026-03-18,,0,,,3,2026-03-14T03:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
12,206,2026-03-16,COMPLETED,10.00,Closed during weekly review,,0,,,0,,,3,2026-03-17T13:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
13,207,2026-03-16,IN_PROGRESS,4.00,Progressing to plan,,0,2026-03-20,,0,,,2,2026-03-17T15:27:53+00:00,2026-03-17T09:27:53+00:00,7,2026-03-16T08:00:00+00:00
14,208,2026-03-16,COMPLETED,22.00,Closed during weekly review,,0,,,0,,,3,2026-03-17T13:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
15,209,2026-03-16,COMPLETED,7.00,Snapshot soft-deleted after task deactivation,,0,,,1,2026-03-17T09:27:53+00:00,16,2,2026-03-08T09:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
16,210,2026-03-16,IN_PROGRESS,1.20,Awaiting worker allocation,,0,2026-03-21,,0,,,1,2026-03-16T09:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
17,211,2026-03-16,NOT_STARTED,0.00,Newly distributed - awaiting first supervisor update,,0,2026-03-23,,0,,,1,,2026-03-17T23:27:53+00:00,16,2026-03-16T08:00:00+00:00
18,212,2026-03-16,NOT_STARTED,0.00,Queued for upcoming work window,,0,2026-03-22,,0,,,1,2026-03-17T05:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
19,213,2026-03-16,IN_PROGRESS,5.90,Progressing to plan,,0,2026-03-17,,0,,,2,2026-03-17T15:27:53+00:00,2026-03-17T09:27:53+00:00,19,2026-03-16T08:00:00+00:00
20,214,2026-03-16,NOT_STARTED,0.00,Newly distributed - awaiting first supervisor update,,0,2026-03-24,,0,,,1,,2026-03-17T23:27:53+00:00,16,2026-03-16T08:00:00+00:00
21,215,2026-03-16,COMPLETED,7.50,Closed during weekly review,,0,,,0,,,3,2026-03-17T13:27:53+00:00,2026-03-17T09:27:53+00:00,6,2026-03-16T08:00:00+00:00
