id,user_id,shop_id,access,granted_at,granted_by
1,1,1,VIEW,2026-02-26T09:27:53+00:00,1
2,1,2,MANAGE,2026-02-26T09:27:53+00:00,1
3,1,3,EDIT,2026-02-26T09:27:53+00:00,1
4,2,1,MANAGE,2026-02-26T09:27:53+00:00,16
5,3,1,EDIT,2026-02-26T09:27:53+00:00,2
6,4,1,VIEW,2026-02-26T09:27:53+00:00,2
7,6,2,MANAGE,2026-02-26T09:27:53+00:00,16
8,7,2,EDIT,2026-02-26T09:27:53+00:00,6
9,8,2,VIEW,2026-02-26T09:27:53+00:00,6
10,9,3,MANAGE,2026-02-26T09:27:53+00:00,16
11,10,3,EDIT,2026-02-26T09:27:53+00:00,9
12,11,3,VIEW,2026-02-26T09:27:53+00:00,9
13,12,4,MANAGE,2026-02-26T09:27:53+00:00,16
14,13,4,EDIT,2026-02-26T09:27:53+00:00,12
15,14,5,MANAGE,2026-02-26T09:27:53+00:00,16
16,15,5,EDIT,2026-02-26T09:27:53+00:00,14
17,19,2,VIEW,2026-02-26T09:27:53+00:00,6
18,20,2,EDIT,2026-02-26T09:27:53+00:00,6
