id,actor_id,entity_type,entity_id,action,before_json,after_json,created_at
1,16,shop,1,CREATE,,"{""code"": ""DEVCELL"", ""name"": ""Development Demo Cell""}",2026-02-17T09:27:53+00:00
2,16,shop,2,CREATE,,"{""code"": ""STRUCT"", ""name"": ""Structures Shop""}",2026-02-17T09:27:53+00:00
3,16,shop,3,CREATE,,"{""code"": ""AVN"", ""name"": ""Avionics Shop""}",2026-02-17T09:27:53+00:00
4,16,shop,4,CREATE,,"{""code"": ""CAB"", ""name"": ""Cabin Shop""}",2026-02-17T09:27:53+00:00
5,16,shop,5,CREATE,,"{""code"": ""ENG"", ""name"": ""Engine Shop""}",2026-02-17T09:27:53+00:00
6,16,shop,6,CREATE,,"{""code"": ""QA"", ""name"": ""Quality Assurance""}",2026-02-17T09:27:53+00:00
7,16,user,1,CREATE,,"{""employee_no"": ""DEV001"", ""name"": ""Dev Seed Operator"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
8,16,user,2,CREATE,,"{""employee_no"": ""DEV002"", ""name"": ""Adrian Koh"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
9,16,user,3,CREATE,,"{""employee_no"": ""DEV003"", ""name"": ""Siti Rahman"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
10,16,user,4,CREATE,,"{""employee_no"": ""DEV004"", ""name"": ""Marcus Lee"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
11,16,user,5,CREATE,,"{""employee_no"": ""DEV005"", ""name"": ""Hanna Park"", ""team"": ""DEV""}",2026-02-18T09:27:53+00:00
12,16,user,6,CREATE,,"{""employee_no"": ""STR006"", ""name"": ""Eun Seo"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
13,16,user,7,CREATE,,"{""employee_no"": ""STR007"", ""name"": ""Amir Rahman"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
14,16,user,8,CREATE,,"{""employee_no"": ""STR008"", ""name"": ""Vanessa Koh"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
15,16,user,9,CREATE,,"{""employee_no"": ""AVN009"", ""name"": ""Jia Hao"", ""team"": ""Avionics""}",2026-02-18T09:27:53+00:00
16,16,user,10,CREATE,,"{""employee_no"": ""AVN010"", ""name"": ""Nur Aisyah"", ""team"": ""Avionics""}",2026-02-18T09:27:53+00:00
17,16,user,11,CREATE,,"{""employee_no"": ""AVN011"", ""name"": ""Dinesh Pillai"", ""team"": ""Avionics""}",2026-02-18T09:27:53+00:00
18,16,user,12,CREATE,,"{""employee_no"": ""CAB012"", ""name"": ""Mei Lin"", ""team"": ""Cabin""}",2026-02-18T09:27:53+00:00
19,16,user,13,CREATE,,"{""employee_no"": ""CAB013"", ""name"": ""Sarah Ng"", ""team"": ""Cabin""}",2026-02-18T09:27:53+00:00
20,16,user,14,CREATE,,"{""employee_no"": ""ENG014"", ""name"": ""Tom Becker"", ""team"": ""Engine""}",2026-02-18T09:27:53+00:00
21,16,user,15,CREATE,,"{""employee_no"": ""ENG015"", ""name"": ""Prakash Iyer"", ""team"": ""Engine""}",2026-02-18T09:27:53+00:00
22,16,user,16,CREATE,,"{""employee_no"": ""ADM016"", ""name"": ""Olivia Hart"", ""team"": ""Planning""}",2026-02-18T09:27:53+00:00
23,16,user,17,CREATE,,"{""employee_no"": ""ADM017"", ""name"": ""Isaac Wong"", ""team"": ""QA""}",2026-02-18T09:27:53+00:00
24,16,user,18,CREATE,,"{""employee_no"": ""TMP018"", ""name"": ""Rahul Sen"", ""team"": ""Temporary""}",2026-02-18T09:27:53+00:00
25,16,user,19,CREATE,,"{""employee_no"": ""STR019"", ""name"": ""Grace Lee"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
26,16,user,20,CREATE,,"{""employee_no"": ""STR020"", ""name"": ""Ben Chua"", ""team"": ""Structures""}",2026-02-18T09:27:53+00:00
27,16,user_shop_access,1,GRANT,,"{""user_id"": 1, ""shop_id"": 1, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
28,16,user_shop_access,2,GRANT,,"{""user_id"": 1, ""shop_id"": 2, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
29,16,user_shop_access,3,GRANT,,"{""user_id"": 1, ""shop_id"": 3, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
30,16,user_shop_access,4,GRANT,,"{""user_id"": 2, ""shop_id"": 1, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
31,16,user_shop_access,5,GRANT,,"{""user_id"": 3, ""shop_id"": 1, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
32,16,user_shop_access,6,GRANT,,"{""user_id"": 4, ""shop_id"": 1, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
33,16,user_shop_access,7,GRANT,,"{""user_id"": 6, ""shop_id"": 2, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
34,16,user_shop_access,8,GRANT,,"{""user_id"": 7, ""shop_id"": 2, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
35,16,user_shop_access,9,GRANT,,"{""user_id"": 8, ""shop_id"": 2, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
36,16,user_shop_access,10,GRANT,,"{""user_id"": 9, ""shop_id"": 3, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
37,16,user_shop_access,11,GRANT,,"{""user_id"": 10, ""shop_id"": 3, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
38,16,user_shop_access,12,GRANT,,"{""user_id"": 11, ""shop_id"": 3, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
39,16,user_shop_access,13,GRANT,,"{""user_id"": 12, ""shop_id"": 4, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
40,16,user_shop_access,14,GRANT,,"{""user_id"": 13, ""shop_id"": 4, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
41,16,user_shop_access,15,GRANT,,"{""user_id"": 14, ""shop_id"": 5, ""access"": ""MANAGE""}",2026-02-26T09:27:53+00:00
42,16,user_shop_access,16,GRANT,,"{""user_id"": 15, ""shop_id"": 5, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
43,16,user_shop_access,17,GRANT,,"{""user_id"": 19, ""shop_id"": 2, ""access"": ""VIEW""}",2026-02-26T09:27:53+00:00
44,16,user_shop_access,18,GRANT,,"{""user_id"": 20, ""shop_id"": 2, ""access"": ""EDIT""}",2026-02-26T09:27:53+00:00
45,16,system_config,1,UPDATE,,"{""key"": ""meeting_current_date"", ""value"": ""2026-03-16""}",2026-03-18T03:27:53+00:00
46,16,system_config,2,UPDATE,,"{""key"": ""needs_update_threshold_hours"", ""value"": ""72""}",2026-03-18T03:27:53+00:00
47,16,system_config,3,UPDATE,,"{""key"": ""teams_enabled"", ""value"": ""true""}",2026-03-18T03:27:53+00:00
48,16,system_config,4,UPDATE,,"{""key"": ""snapshot_advance_day"", ""value"": ""Sunday""}",2026-03-18T03:27:53+00:00
49,16,system_config,5,UPDATE,,"{""key"": ""snapshot_advance_time"", ""value"": ""18:00""}",2026-03-18T03:27:53+00:00
50,16,system_config,6,UPDATE,,"{""key"": ""auto_advance_week"", ""value"": ""true""}",2026-03-18T03:27:53+00:00
51,16,system_config,7,UPDATE,,"{""key"": ""notify_critical"", ""value"": ""true""}",2026-03-18T03:27:53+00:00
52,16,system_config,8,UPDATE,,"{""key"": ""notify_teams"", ""value"": ""false""}",2026-03-18T03:27:53+00:00
