id,ot_request_id,approver_id,stage,action,comment,acted_at
1,1,2,ENDORSE,APPROVE,Endorsed for operational need,2026-03-03T21:00:00+00:00
2,1,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-04T13:00:00+00:00
3,3,2,ENDORSE,APPROVE,Endorsed - awaiting final admin approval,2026-03-14T21:00:00+00:00
4,5,2,ENDORSE,APPROVE,Endorsed for operational need,2026-03-11T21:00:00+00:00
5,5,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-12T13:00:00+00:00
6,7,2,ENDORSE,APPROVE,Endorsed - awaiting final admin approval,2026-03-18T21:00:00+00:00
7,8,2,ENDORSE,APPROVE,Endorsed for operational need,2026-03-05T21:00:00+00:00
8,8,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-06T13:00:00+00:00
9,9,2,ENDORSE,APPROVE,Endorsed before admin review,2026-03-10T21:00:00+00:00
10,9,16,APPROVE,REJECT,Need revised justification,2026-03-11T13:00:00+00:00
11,10,2,ENDORSE,APPROVE,Endorsed for operational need,2026-03-06T21:00:00+00:00
12,10,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-07T13:00:00+00:00
13,11,2,ENDORSE,REJECT,Rejected by supervisor,2026-03-15T21:00:00+00:00
14,12,6,ENDORSE,APPROVE,Endorsed for operational need,2026-02-24T21:00:00+00:00
15,12,16,APPROVE,APPROVE,Approved within monthly limit,2026-02-25T13:00:00+00:00
16,13,6,ENDORSE,APPROVE,Endorsed for operational need,2026-03-04T21:00:00+00:00
17,13,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-05T13:00:00+00:00
18,15,6,ENDORSE,APPROVE,Endorsed - awaiting final admin approval,2026-03-14T21:00:00+00:00
19,17,6,ENDORSE,APPROVE,Endorsed for operational need,2026-03-03T21:00:00+00:00
20,17,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-04T13:00:00+00:00
21,18,6,ENDORSE,REJECT,Insufficient manpower impact,2026-03-12T21:00:00+00:00
22,19,6,ENDORSE,APPROVE,Endorsed for operational need,2026-03-16T21:00:00+00:00
23,19,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-17T13:00:00+00:00
24,21,6,ENDORSE,APPROVE,Endorsed for operational need,2026-03-11T21:00:00+00:00
25,21,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-12T13:00:00+00:00
26,22,6,ENDORSE,APPROVE,Endorsed - awaiting final admin approval,2026-03-15T21:00:00+00:00
27,23,6,ENDORSE,APPROVE,Endorsed for operational need,2026-03-13T21:00:00+00:00
28,23,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-14T13:00:00+00:00
29,24,9,ENDORSE,APPROVE,Endorsed for operational need,2026-03-04T21:00:00+00:00
30,24,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-05T13:00:00+00:00
31,26,9,ENDORSE,APPROVE,Endorsed - awaiting final admin approval,2026-03-15T21:00:00+00:00
32,27,9,ENDORSE,APPROVE,Endorsed for operational need,2026-03-12T21:00:00+00:00
33,27,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-13T13:00:00+00:00
34,28,9,ENDORSE,APPROVE,Endorsed for operational need,2026-02-26T21:00:00+00:00
35,28,16,APPROVE,APPROVE,Approved within monthly limit,2026-02-27T13:00:00+00:00
36,29,9,ENDORSE,APPROVE,Endorsed for operational need,2026-03-06T21:00:00+00:00
37,29,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-07T13:00:00+00:00
38,30,9,ENDORSE,APPROVE,Endorsed before admin review,2026-03-16T21:00:00+00:00
39,30,16,APPROVE,REJECT,Admin requested evidence of AOG impact,2026-03-17T13:00:00+00:00
40,31,9,ENDORSE,APPROVE,Endorsed for operational need,2026-02-28T21:00:00+00:00
41,31,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-01T13:00:00+00:00
42,32,12,ENDORSE,APPROVE,Endorsed for operational need,2026-03-04T21:00:00+00:00
43,32,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-05T13:00:00+00:00
44,34,12,ENDORSE,APPROVE,Endorsed for operational need,2026-03-12T21:00:00+00:00
45,34,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-13T13:00:00+00:00
46,36,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-01T21:00:00+00:00
47,36,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-02T13:00:00+00:00
48,37,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-02T21:00:00+00:00
49,37,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-03T13:00:00+00:00
50,38,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-03T21:00:00+00:00
51,38,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-04T13:00:00+00:00
52,39,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-04T21:00:00+00:00
53,39,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-05T13:00:00+00:00
54,40,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-05T21:00:00+00:00
55,40,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-06T13:00:00+00:00
56,41,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-06T21:00:00+00:00
57,41,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-07T13:00:00+00:00
58,42,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-08T21:00:00+00:00
59,42,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-09T13:00:00+00:00
60,43,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-09T21:00:00+00:00
61,43,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-10T13:00:00+00:00
62,44,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-10T21:00:00+00:00
63,44,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-11T13:00:00+00:00
64,45,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-11T21:00:00+00:00
65,45,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-12T13:00:00+00:00
66,46,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-12T21:00:00+00:00
67,46,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-13T13:00:00+00:00
68,47,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-13T21:00:00+00:00
69,47,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-14T13:00:00+00:00
70,48,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-15T21:00:00+00:00
71,48,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-16T13:00:00+00:00
72,49,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-16T21:00:00+00:00
73,49,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-17T13:00:00+00:00
74,50,14,ENDORSE,APPROVE,Endorsed for operational need,2026-03-11T21:00:00+00:00
75,50,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-12T13:00:00+00:00
76,51,17,ENDORSE,APPROVE,Endorsed for operational need,2026-03-17T21:00:00+00:00
77,51,16,APPROVE,APPROVE,Approved within monthly limit,2026-03-18T13:00:00+00:00
